,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Trent Green,,,,,,,0.0,278.53999999999996,,181.42,222.22,306.1,301.86,320.14,250.76,83.58000000000001,58.68000000000001,9.4,,,,,,,
Brian Griese,,,-2.32,203.08,229.71999999999997,236.77999999999997,205.26,52.02,203.58,74.64,10.3,110.92,58.82,,,,,,,,,,,,
Robert Griffin III,,361.5,249.02,103.36000000000001,,72.44,,0.84,18.0,4.58,,,,,,,,,,,,,,,
Rex Grossman,,,27.38,35.08,12.36,226.52000000000004,69.14,30.68,0.21999999999999997,69.96,189.14000000000001,,,,,,,,,,,,,,
Matt Gutierrez,,,-0.7000000000000001,,0.12,,,,,,,,,,,,,,,,,,,,
Graham Harrell,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Joey Harrington,,,,132.16,183.6,229.38,137.44,133.84,119.30000000000003,,,,,,,,,,,,,,,,
Matt Hasselbeck,,,,9.14,9.66,121.02000000000001,219.2,304.14,252.27999999999997,282.76,186.68,311.53999999999996,65.54,201.06,182.04000000000002,228.04,90.48,3.0,22.939999999999998,113.1,,,,,
Tim Hasselbeck,,,,0.0,60.580000000000005,,-0.30000000000000004,,-0.1,,,,,,,,,,,,,,,,
Taylor Heinicke,,,,0.6000000000000001,15.9,,13.68,264.86,149.96,,,,,,,,,,,,,,,,
Chad Henne,,,2.68,168.32,189.24,67.92,140.16000000000003,187.34,38.18,,-0.2,-0.5,1.46,,27.720000000000002,3.2800000000000002,-0.5,,,,,,,,
Justin Herbert,,392.84,446.76,335.26,,,,,,,,,,,,,,,,,,,,,
Shaun Hill,,,,,-0.2,,55.44,167.34,70.72,191.74,1.22,18.779999999999998,-0.2,108.28,0.09999999999999998,10.18,,,,,,,,,
Kevin Hogan,,,,16.66,41.78,,,,0.0,,,,,,,,,,,,,,,,
Kelly Holcomb,,,,8.66,,,,10.56,72.5,108.58,61.28,111.46,,30.6,,,,,,,,,,,
Sam Howell,,20.259999999999998,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,,,,14.18,8.079999999999998,0.58,15.800000000000002,50.2,182.94,208.64000000000001,93.60000000000001,73.88000000000001,-0.52,31.080000000000002,4.0,14.28,1.48,,,,,,,,
Damon Huard,,,,,1.4,104.92000000000002,12.719999999999999,,0.4,-0.1,,,141.42000000000002,130.18,24.380000000000003,,,,,,,,,,
Brett Hundley,,,-1.52,144.44,,6.0600000000000005,,,,,,,,,,,,,,,,,,,
Tyler Huntley,,2.9000000000000004,94.64000000000001,52.02,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,,125.14,342.15999999999997,422.03999999999996,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,177.54,491.68,390.78,273.98,272.08000000000004,,,,,,,,,,,,,,,,,,,,
Tarvaris Jackson,,,36.7,150.44,106.74000000000001,13.040000000000001,29.94,198.44,,18.14,0.0,0.6799999999999999,,,,,,,,,,,,,
Josh Johnson,,,50.2,8.34,18.54,0.0,2.0,,,,,51.6,,,54.31999999999999,0.7000000000000001,,,,,,,,,
Brad Johnson,,,,,,5.8,5.98,187.32,238.64,63.379999999999995,293.30000000000007,148.0,222.24,244.96,269.53999999999996,41.26,144.70000000000002,148.2,2.66,18.980000000000004,,,,,
Daniel Jones,,280.97999999999996,212.02,187.52,321.0,,,,,,,,,,,,,,,,,,,,
Mac Jones,,,270.93999999999994,198.07999999999998,,,,,,,,,,,,,,,,,,,,,
Landry Jones,,,,,,30.019999999999996,41.92,12.56,,,,,,,,,,,,,,,,,
Colin Kaepernick,,,,1.2000000000000002,198.06,314.28,298.65999999999997,122.19999999999999,236.44,,,,,,,,,,,,,,,,
Case Keenum,,,,,125.60000000000001,28.900000000000002,55.62,131.14000000000001,281.88,254.90000000000003,131.48,1.84,36.68000000000001,0.32,,,,,,,,,,,
Cody Kessler,,,89.0,2.94,48.66,,,,,,,,,,,,,,,,,,,,
Jon Kitna,,,,,23.74,85.78,245.44000000000003,195.01999999999998,169.94,220.82,280.94,51.120000000000005,1.3600000000000003,277.92,238.92000000000002,53.72,,187.3,5.28,,,,,,
DeShone Kizer,209.66,7.380000000000001,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kolb,,,-0.2,-2.04,53.54,82.38,122.69999999999999,104.75999999999999,,,,,,,,,,,,,,,,,
Trey Lance,72.92,12.46,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,,229.04000000000002,357.62,,,,,,,,,,,,,,,,,,,,,,
Byron Leftwich,,,187.56,214.73999999999998,183.62,94.46,13.86,30.82,42.36000000000001,1.68,,17.980000000000004,,,,,,,,,,,,,
Matt Leinart,,,160.78,34.08,15.060000000000002,10.800000000000002,,8.180000000000001,2.6000000000000005,,,,,,,,,,,,,,,,
